gene	call
NASQAN2015_010_A_bin.16_Ga0466474_000034_25	narG-N reducer
NASQAN2011_286_F_bin.29_scaffold_54_27	narG-N reducer
NASQAN2011_286_B_bin.1_k121_764018_13	narG-N reducer
NASQAN2011_265_B_bin.52_k121_465271_4	narG-N reducer
NASQAN2011_265_B_bin.52_k121_959771_6	narG-N reducer
NASQAN2011_028_B_bin.24_k121_53788_5	narG-N reducer
logan1_2019_sw_WHONDRS-S19S_0097_B_bin.20_k121_1372227_2	narG-N reducer
littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_bin.9_k121_678409_6	narG-N reducer
littlewolfcreek_2019_sw_WHONDRS-S19S_0078_B_bin.9_k121_678409_7	narG-N reducer
lewisrun_2019_sw_WHONDRS-S19S_0014_F_bin.22_scaffold_791_5	narG-N reducer
lewisrun_2019_sw_WHONDRS-S19S_0014_B_bin.6_k121_1211148_1	narG-N reducer
lewisrun_2019_sw_WHONDRS-S19S_0014_B_bin.30_k121_510322_1	narG-N reducer
lecontecreek_2019_sw_WHONDRS-S19S_0018_F_bin.2_scaffold_1_206	narG-N reducer
lecontecreek_2019_sw_WHONDRS-S19S_0018_A_bin.2_Ga0451754_0000231_3	narG-N reducer
king_2019_sw_WHONDRS-S19S_0016_B_bin.5_k121_1281127_1	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.3_scaffold_11088_2	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.19_scaffold_731_2	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.17_scaffold_201_6	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.17_scaffold_4056_4	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.17_scaffold_4528_3	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.14_scaffold_3271_6	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.14_scaffold_493_9	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.12_scaffold_10959_2	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_F_bin.10_scaffold_7566_1	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_B_bin.46_k121_495423_17	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_B_bin.104_k121_1186915_16	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_B_bin.104_k121_2341297_11	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_A_bin.62_Ga0451753_0000931_1	narG-N reducer
flintriver_2019_sw_WHONDRS-S19S_0015_A_bin.62_Ga0451753_0004490_1	narG-N reducer
eastforkpoplarcreek_2019_sw_WHONDRS-S19S_0039_B_bin.13_k121_238651_23	narG-N reducer
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.15_k121_168873_1	narG-N reducer
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.23_Ga0451756_0000618_5	narG-N reducer
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.17_Ga0451756_0000169_17	narG-N reducer
