gene_id	gene_description	pathway	topic_ecosystem	category	subcategory
K00108	betA; choline dehydrogenase	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K11440  	betA; choline dehydrogenase	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K00130 	betB; betaine-aldehyde dehydrogenase	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K03762	"proP; Proline/betaine (ProP) MFS transporter	 PPII	 proline permease II"	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K03607	proQ; proline/betaine (ProP effector)	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K02000	proV; glycine-betaine/proline transport system ATP binding protein	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K02001	proW; glycine-betaine/proline transport system permease protein	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K02002	proX; glycine-betaine/proline transport system substrate binding protein	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K05020	opuD; glycine-betaine transporter	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K10036	glnH; glutamine transport system substrate-binding protein	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K10037	glnP; glutamine transport system permease protein	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K10038	glnQ; glutamine transport system ATP-binding protein	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K05845	opuC; Osmoprotectant transport system substrate binding protein	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K05846	opuBD; Osmoprotectant transport system permease	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K05847	opuA; Osmoprotectant transport system ATP-binding protein	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K18896	glycine/sarcosine N-methyltransferase	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K18897	sarcosine/dimethylglycine N-methyltransferase	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K06720	ectC; ectoine synthase	engineered systems	engineered systems	osmoprotectant	ectoine synthesis & transport
K10674	ectD; ectoine hydroxylase	engineered systems	engineered systems	osmoprotectant	ectoine synthesis & transport
K00836	ectB; diaminobutyrate aminotransferase	engineered systems	engineered systems	osmoprotectant	ectoine synthesis & transport
K06718	ectA; diaminobutyrate acetyltransferase	engineered systems	engineered systems	osmoprotectant	ectoine synthesis & transport
K02028	ehuA; ectoine/hydroxyectoine transporter (ATP binding)	engineered systems	engineered systems	osmoprotectant	ectoine synthesis & transport
K02029	"ehuC	 D; ectoine/hydroxyectoine transporter (permease)"	engineered systems	engineered systems	osmoprotectant	ectoine synthesis & transport
K02030	ehuB; ectoine/hydroxyectoine transporter (aa binding)	engineered systems	engineered systems	osmoprotectant	ectoine synthesis & transport
K10227	"smoE	 mtlE; sorbitol/mannitol transport system"	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K10228	smoF; sorbitol/mannitol transport system	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K10229	sorbitol/mannitol transport system	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K10230	sorbitol/mannitol transport system	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K02783	"srlA; sorbitol transporter subunit II A	 B	 C"	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K02781	"srlB; sorbitol transporter subunit II A	 B	 C"	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K02782	"srlE; sorbitol transporter subunit II A	 B	 C"	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K05947	mpgSP; mannosyl-3-phosphoglycerate synthase	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K02798	"mtlA; Mannitol transporter PTS system	 IIB	 C"	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K10109	malF; maltose transport	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K10110	malG; maltose transport	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K10111	"malK	 mltK; multiple sugar transport system ATP-binding protein"	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K06044	treY; maltooligosyl trehalose synthase	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K01236	treZ; maltooligosyl trehalose trehalohydrolase	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K05342	treP; trehalose phosphorylase	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K05343	treS; trehalose synthase	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K00697	otsA; trehalose 6-phosphate synthase	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K01087	otsB; trehalose 6-phosphate synthase	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
K17314	treV; trehalose transport system ATP-binding protein	engineered systems	engineered systems	osmoprotectant	sugar compatible solutes
EC:2.3.1.184	LasI; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
EC:2.3.1.230	PqsBC; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
EC:3.1.2.32	PqsE; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
EC:4.4.1.21	LuxS; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K08321	LsrF; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K10912	LuxO; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K10914	Vfr; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K10915	CqsA; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K11063	TcdB; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K11216	LsrK; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K11530	LsrG; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K07678	GacS; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K07706	AgrC; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K07707	AgrA; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K07782	SdiA; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K10555	LsrB; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K10909	LuxQ; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K10910	LuxP; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K10913	HapR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K10941	FleQ; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K11063	TcdA; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K11531	LsrR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K16168	BpsB; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K18000	PqsA; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K18003	CdpR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K18003	PqsD; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K18304	LasR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K18304	LasR&QsIA; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K18304	LasR-Aqs1; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K19732	TraR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K19733	SinR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K19733	SinI; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K19733	SinR&SinI; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K19733	SinR/RaiR/AvsR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K19735	EsaI; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K19735	PqsR/MvfR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K20272	TraM; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K20334	CviR; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K20918	VpsT; QuorumSensing	engineered systems	engineered systems	biofilm formation	Quorum Sensing
K02407	FliD; Motility	engineered systems	engineered systems	biofilm formation	Motility
K02650	PilA; Motility	engineered systems	engineered systems	biofilm formation	Motility
K02664	PilO; Motility	engineered systems	engineered systems	biofilm formation	Motility
K02669	PilT; Motility	engineered systems	engineered systems	biofilm formation	Motility
K07345	FimA; Motility	engineered systems	engineered systems	biofilm formation	Motility
K10941	FleQ; Motility	engineered systems	engineered systems	biofilm formation	Motility
K14195	SasG; Motility	engineered systems	engineered systems	biofilm formation	Motility
K14196	SasG; Motility	engineered systems	engineered systems	biofilm formation	Motility
K14197	SasG; Motility	engineered systems	engineered systems	biofilm formation	Motility
K14198	SasG; Motility	engineered systems	engineered systems	biofilm formation	Motility
K15540	EcpD; Motility	engineered systems	engineered systems	biofilm formation	Motility
K18616	Fap1; Motility	engineered systems	engineered systems	biofilm formation	Motility
K19433	TasA; Motility	engineered systems	engineered systems	biofilm formation	Motility
K19699	SafD; Motility	engineered systems	engineered systems	biofilm formation	Motility
K21025	FimX; Motility	engineered systems	engineered systems	biofilm formation	Motility
K21026	FimX; Motility	engineered systems	engineered systems	biofilm formation	Motility
K21027	FimX; Motility	engineered systems	engineered systems	biofilm formation	Motility
K21028	FimX; Motility	engineered systems	engineered systems	biofilm formation	Motility
K21029	FimX; Motility	engineered systems	engineered systems	biofilm formation	Motility
K21030	FimX; Motility	engineered systems	engineered systems	biofilm formation	Motility
EC:2.4.1.125	GtfC; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K04333	CsgD; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K04336	CsgC; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K06214	CsgG; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K07668	VicR; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K11931	PgaB; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K11931	PgaB-PNAG; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K13654	McbR/YncC; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K13732	FnbpA; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K13732	FnbpA-5; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K13732	FnbpA-1; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K14192	ClfB; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K14201	ClfA; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K16440	GtfA; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K20259	LecB/PA-IIL; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K20541	BcsG; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K20542	BcsG; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K20951	Bap1; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K20952	RbmC; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K20953	RbmA; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K21006	PelA; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K21007	PelA; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K21009	PelD; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K21010	PelD; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K21011	PelD; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K21012	PelD; EPS	engineered systems	engineered systems	biofilm formation	EPS production
K04455	HSPB1; heat shock protein family B (small) member 1	engineered systems	engineered systems	heat tolerance	
K03667	"ttm:Tthe_1460 heat shock protein HslVU	 ATPase subunit HslU; K03667 AAA_2 AAA ClpB_D2-small AAA_5 AAA_22 AAA_16 Mg_chelatase Sigma54_activat MCM AAA_18 RuvB_N ABC_tran NTPase_1 TniB AAA_28 AAA_33 Zeta_toxin AAA_7 IstB_IS21 TIP49 TsaE FAS_meander AAA_19 DEAD"	engineered systems	engineered systems	heat tolerance	
K13993	ttm:Tthe_0173 heat shock protein Hsp20; K13993 HSP20 ArsA_HSP20 CS	engineered systems	engineered systems	heat tolerance	
K03686	blq:L21SP5_01031 dnaJ; Heat shock protein J; K03686 DnaJ_C DnaJ DnaJ_CXXCXGXG Anti-TRAP	engineered systems	engineered systems	heat tolerance	
K04762	pet:PEIBARAKI_4309 heat shock protein 15; K04762 S4	engineered systems	engineered systems	heat tolerance	
K05801	tli:Tlie_1612 heat shock protein DnaJ domain protein; K05801 DnaJ 3HBOH	engineered systems	engineered systems	heat tolerance	
K03799	"mem:Memar_2252 Heat shock protein	 Metallo peptidase	 MEROPS family M48B; K03799 Peptidase_M48 Peptidase_M56 Peptidase_U49 SprT-like DUF2268 Pex24p"	engineered systems	engineered systems	heat tolerance	
K03705	tte:TTE0953 HrcA; Transcriptional regulator of heat shock gene; K03705 HrcA HrcA_DNA-bdg HTH_11 HTH_DeoR	engineered systems	engineered systems	heat tolerance	
K03687	tte:TTE0954 GrpE; Molecular chaperone GrpE (heat shock protein); K03687 GrpE Herpes_UL6 GldM_N Complex1_LYR Trans_reg_C DUF573 KxDL Atg14 DUF87	engineered systems	engineered systems	heat tolerance	
K13640	cha:CHAB381_0975 putative heat shock protein HspR; K13640 MerR_1 MerR_2 MerR HTH_17 HTH_3 PKcGMP_CC TolA_bind_tri HTH_23	engineered systems	engineered systems	heat tolerance	
K01419	"hor:Hore_07560 heat shock protein HslVU	 ATP dependent protease HslV; K01419 Proteasome"	engineered systems	engineered systems	heat tolerance	
K07721	"tko:TK2291 archaeal heat shock regulator	 ArsR family; K07721 HTH_5 HTH_20 ArsR HTH_24 PadR TrmB MarR_2 HTH_CodY HTH_11 PSY3 MscS_porin GntR DprA_WH HTH_10 LexA_DNA_bind HxlR IF2_N DUF4795 DUF2205"	engineered systems	engineered systems	heat tolerance	
K19411	"min:Minf_0201 mcsA; Modulator of heat shock repressor CtsR	 McsA; K19411 UVR TackOD1 XFP A2L_zn_ribbon HypA"	engineered systems	engineered systems	heat tolerance	
K22447	thv:ADU37_CDS16120 Heat shock protein 60 family chaperone GroEL / Thermosome subunit; K22447 Cpn60_TCP1 AAA_5	engineered systems	engineered systems	heat tolerance	
K04079	csh:Closa_3215 Heat shock protein Hsp90-like protein; K04079 HSP90 HATPase_c_3 HATPase_c	engineered systems	engineered systems	heat tolerance	
K04083	cst:CLOST_0638 hslO; disulfide bond chaperone (heat shock protein HSP33); K04083 HSP33	engineered systems	engineered systems	heat tolerance	
K03695	rho:RHOM_03585 heat shock protein ClpB-like protein; K03695 AAA_2 AAA_lid_9 AAA ClpB_D2-small Clp_N AAA_5 AAA_16 Sigma54_activat AAA_22 IstB_IS21 ATPase_2 TniB AAA_7 AAA_18 AAA_14 Mg_chelatase RNA_helicase RuvB_N NACHT DUF815 AAA_3 Zeta_toxin AAA_33 Roc DNA_pol3_delta2 AAA_19 Torsin AAA_23 Spc7 DUF87 Cob_adeno_trans Atg14 ABC_tran	engineered systems	engineered systems	heat tolerance	
K06335	sbu:SpiBuddy_2148 heat shock protein Hsp20; K06335 HSP20 ArsA_HSP20 Frataxin_Cyay	engineered systems	engineered systems	heat tolerance	
K04078	mthr:MSTHT_2204 Heat shock protein 60 family co-chaperone GroES; K04078 Cpn10 NTPase_1	engineered systems	engineered systems	heat tolerance	
K05516	aeh:Mlg_2130 heat shock protein DnaJ domain protein; K05516 DnaJ_C DnaJ Metal_resist	engineered systems	engineered systems	heat tolerance	
K04080	salg:BS332_16600 heat-shock protein; K04080 HSP20 ArsA_HSP20	engineered systems	engineered systems	heat tolerance	
K04077	smul:SMUL_0986 groL; heat shock protein 60 family chaperone GroEL; K04077 Cpn60_TCP1 Cas_APE2256	engineered systems	engineered systems	heat tolerance	
K04043	DnaK; molecular chaperone	engineered systems	engineered systems	heat tolerance	
K00625	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]	engineered systems	engineered systems	organic acids	potential acetate production
K13788	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]	engineered systems	engineered systems	organic acids	potential acetate production
K15024	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]	engineered systems	engineered systems	organic acids	potential acetate production
K00925	acetate kinase [EC:2.7.2.1] [RN:R00315]	engineered systems	engineered systems	organic acids	potential acetate production
K01067	acetyl-CoA hydrolase [EC:3.1.2.1]	engineered systems	engineered systems	organic acids	potential acetate production
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	engineered systems	engineered systems	organic acids	potential lactate production
K03777	D-lactate dehydrogenase (quinone) [EC:1.1.5.12]	engineered systems	engineered systems	organic acids	potential lactate production
K00929	butyrate kinase [EC:2.7.2.7]	engineered systems	engineered systems	organic acids	potential butyrate production
K00634	phosphate butyryltransferase [EC:2.3.1.19]	engineered systems	engineered systems	organic acids	potential butyrate production
K19697	propionate kinase [EC:2.7.2.15]	engineered systems	engineered systems	organic acids	potential propionate production
K01026	propionate CoA-transferase [EC:2.8.3.1]	engineered systems	engineered systems	organic acids	potential propionate production
AlkB	HMM; alkB; AlkB-type alkane hydroxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
AlmA_GroupI	HMM; almA; Flavin-binding monooxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
AlmA_GroupIII	HMM; almA; Flavin-binding monooxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
pBmoA	HMM; bmoA_butane; butane monooxygenase (particulate)	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
pBmoB	HMM; bmoB; butane monooxygenase (particulate)	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
pBmoC	HMM; bmoC; butane monooxygenase (particulate)	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
sBmoX	HMM; bmoX (alpha subunit); butane monooxygenase (soluble) complex	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
sBmoY	HMM; bmoY; butane monooxygenase (soluble) complex	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
sBmoZ	HMM; bmoZ; butane monooxygenase (soluble) complex	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
CYP153	HMM; Cyp153; Cytochrome P450 alkane hydroxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
LadA_alpha	HMM; ladA_alpha; Long-chain alkane monooxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
LadA_beta	HMM; ladA_beta; long-chain alkane hydrolase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
LadB	HMM; ladB; long-chain alkane hydrolase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
PrmA	HMM; prmA; Propane 2-monoxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
PrmC	HMM; prmC; Propane 2-monoxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 aerobic"
TmoA_BmoA	HMM; tmoA; Toluene/Benzene 4-monooxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
MAH_alpha	HMM; broad; Monoaromatic dioxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
DmpO	HMM; dmpO; Phenol hydroxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
DszC	HMM; dszC (soxC); Dibenzothiophene desulfurization enzyme C	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
NdoB	"HMM; ndoB; Naphthalene 1	2-dioxygenase alpha"	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
NdoC	"HMM; ndoC; Polyaromatic/Naphthalene 1	2-dioxygenase beta subunit"	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
non_NdoB_type	"HMM; non ndoB; Naphthalene 1	2-dioxygenase alpha"	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
MAH_beta	"HMM; tcbAb	 todC2	 bphAb; Monoaromatic dioxygenase beta subunit"	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
TmoB_BmoB	HMM; tmoB; Toluene/Benzene 4-monooxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
TmoE	HMM; tmoE; Toluene 4-monooxygenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
TomA1	HMM; tomA1; Toluene 2-monooxygenase/Phenol Hydroxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
TomA3	HMM; tomA3; Toluene 2-monooxygenase/Phenol Hydroxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
TomA4	HMM; tomA4; Toluene 2-monooxygenase/Phenol Hydroxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 aerobic"
AhyA	HMM; ahyA; Alkane C2 methylene hydroxylase (putative)	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 anaerobic"
AssA	HMM; masD/assA; 1-methylalkyl (alkyl) succinate synthase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"alkane	 anaerobic"
AbcA_1	HMM; abcA1; Benzene carboxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 anaerobic"
AbcA_2	HMM; abcA2; Benzene carboxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 anaerobic"
BssA	HMM; bssA/ibsA; Benzyl/(4-Isopropylbenzyl) succinate synthase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 anaerobic"
CmdA	HMM; cmdA; p-cymene dehydrogenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 anaerobic"
EbdA	HMM; ebdA; Ethylbenzene dehydrogenase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 anaerobic"
K27540	HMM; K27540; Naphthalene carboxylase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 anaerobic"
NmsA	HMM; nmsA; Naphthyl 2-methylsuccinate synthase	engineered systems	engineered systems	"CANT-HYD	 hydrocarbon degradation"	"aromatic	 anaerobic"
APS-reductase_C	HMM; adenylylsulfate reductase C	engineered systems	engineered systems	sulfur	
ATP-sulfurylase	HMM; sulfate adenylyltransferase	engineered systems	engineered systems	sulfur	
DoxA	HMM; doxA; thiosulfate dehydrogenase (quinone) small subunit	engineered systems	engineered systems	sulfur	
DoxD	HMM; doxD; thiosulfate dehydrogenase (quinone) large subunit	engineered systems	engineered systems	sulfur	
DoxX	HMM; doxX	engineered systems	engineered systems	sulfur	
DsrD	"HMM; dsrD; sulfite reductase D	 dissimilatory-type"	engineered systems	engineered systems	sulfur	
FCSD-flav_bind	"HMM; flavocytochrome c sulfide dehydrogenase flavin-binding protein	 sulfide dehydrogenase"	engineered systems	engineered systems	sulfur	
NIR_SIR	HMM; nir_sir	engineered systems	engineered systems	sulfur	
Rhodanese	HMM; rhodanase	engineered systems	engineered systems	sulfur	
SOR	HMM; SOR; sulphur oxygenase/reductase (elemental sulfur to sulfide & sulfate)	engineered systems	engineered systems	sulfur	
SoxY	HMM; soxY; sulfur-oxidizing protein SoxY	engineered systems	engineered systems	sulfur	
SoxZ	HMM; soxZ; sulfur-oxidizing protein SoxZ	engineered systems	engineered systems	sulfur	
sqr_alignment	HMM; sqr; sulfide-quinone reductase 	engineered systems	engineered systems	sulfur	
sulfur_dioxygenase_sdo_alignment	HMM; dso; sulfur dioxgenase	engineered systems	engineered systems	sulfur	
thiosulfate_reductase_phsA_alignment	HMM; phsA; thiosulfate reductase / polysulfide reductase chain A	engineered systems	engineered systems	sulfur	
